,Team,VORP_projection
0,Atlanta Hawks,[16.19545915]
1,Boston Celtics,[14.74016619]
2,Brooklyn Nets,[15.08258807]
3,Charlotte Hornets,[7.50650415]
4,Chicago Bulls,[9.88241426]
5,Cleveland Cavaliers,[8.98355685]
6,Dallas Mavericks,[15.51061541]
7,Denver Nuggets,[9.53999239]
8,Detroit Pistons,[3.39815844]
9,Golden State Warriors,[15.42500994]
10,Houston Rockets,[3.01221708]
11,Indiana Pacers,[11.87238302]
12,Los Angeles Clippers,[11.40155294]
13,Los Angeles Lakers,[10.33148459]
14,Memphis Grizzlies,[14.95417986]
15,Miami Heat,[13.84130878]
16,Milwaukee Bucks,[15.03978533]
17,Minnesota Timberwolves,[13.34943572]
18,New Orleans Pelicans,[8.94075412]
19,New York Knicks,[13.19926777]
20,Oklahoma City Thunder,[2.56314675]
21,Orlando Magic,[2.54210376]
22,Philadelphia 76ers,[16.40947282]
23,Phoenix Suns,[14.86929115]
24,Portland Trailblazers,[8.27767012]
25,Sacramento Kings,[6.86446314]
26,San Antonio Spurs,[6.77957443]
27,Toronto Raptors,[11.21001577]
28,Utah Jazz,[16.36667009]
29,Washington Wizards,[10.13923067]
