,Team,Prior_Year_Vorp
0,Atlanta Hawks,16.05833333333333
1,Boston Celtics,9.680555555555554
2,Brooklyn Nets,15.716666666666665
3,Charlotte Hornets,9.11111111111111
4,Chicago Bulls,8.883333333333335
5,Cleveland Cavaliers,2.6194444444444445
6,Dallas Mavericks,4.897222222222222
7,Denver Nuggets,3.075
8,Detroit Pistons,1.594444444444444
9,Golden State Warriors,12.869444444444445
10,Houston Rockets,3.4166666666666665
11,Indiana Pacers,11.04722222222222
12,Los Angeles Clippers,10.022222222222222
13,Los Angeles Lakers,13.09722222222222
14,Memphis Grizzlies,8.997222222222222
15,Miami Heat,4.3277777777777775
16,Milwaukee Bucks,14.577777777777776
17,Minnesota Timberwolves,5.580555555555556
18,New Orleans Pelicans,3.075
19,New York Knicks,17.083333333333332
20,Oklahoma City Thunder,2.2777777777777777
21,Orlando Magic,-1.7083333333333344
22,Philadelphia 76ers,13.552777777777775
23,Phoenix Suns,14.008333333333331
24,Portland Trailblazers,11.616666666666667
25,Sacramento Kings,6.491666666666666
26,San Antonio Spurs,7.516666666666667
27,Toronto Raptors,6.833333333333333
28,Utah Jazz,17.880555555555553
29,Washington Wizards,7.858333333333333
