,Away,Home,is_B2B_First_Away,is_B2B_First_Home,is_B2B_Second_Away,is_B2B_Second_Home,Away_Prob_Naive,Home_Prob_Naive,Home_Prob_Adjusted,Away_Prob_Adjusted,Home_Odds,Away_Odds,Home_Prob_Odds,Away_Prob_Odds,Home_Prob_Diff,Away_Prob_Diff,Home_Bet_Size,Away_Bet_Size,Home_Bet,Away_Bet,Potential_Payoff,Date
0,Toronto Raptors,Orlando Magic,0,0,0,0,0.57980345594441,0.22134764219512404,0.19815614640927376,0.8018438535907262,440.0,-590.0,0.1851851851851852,0.855072463768116,0.012970961224088556,-0.05322861017738978,0.0015918906956836013,0.0,102.49752633432313,0.0,450.9891158710218,2022-04-01
1,Dallas Mavericks,Washington Wizards,0,0,0,0,0.5368233971144003,0.2401863495649862,0.24858394760667404,0.751416052393326,310.0,-390.0,0.24390243902439024,0.7959183673469387,0.004681508582283805,-0.044502314953612676,0.0006191672641085032,0.0,39.866501594859386,0.0,123.5861549440641,2022-04-01
2,Indiana Pacers,Boston Celtics,0,0,0,0,0.22838991097720096,0.704977775183582,1.0321498925560233,-0.032149892556023296,-1350.0,810.0,0.9310344827586207,0.10989010989010989,0.10111540979740263,-0.14204000244613318,0.0,0.0,0.0,0.0,0.0,2022-04-01
3,Sacramento Kings,Houston Rockets,0,0,0,0,0.25335251711218243,0.14993467800640597,0.3967440197722877,0.6032559802277123,120.0,-142.0,0.45454545454545453,0.5867768595041323,-0.05780143477316685,0.016479120723580043,0.0,0.003987947215106375,0.0,256.7731099934131,180.82613379817823,2022-04-01
4,Los Angeles Clippers,Milwaukee Bucks,0,0,1,1,0.42456962580341207,0.6693973453869619,0.8501904967112033,0.14980950328879672,-340.0,275.0,0.7727272727272727,0.26666666666666666,0.07746322398393057,-0.11685716337786994,0.03408381855292945,0.0,2194.5646765671745,0.0,645.4601989903455,2022-04-01
5,Detroit Pistons,Oklahoma City Thunder,0,0,1,0,0.2384814128815303,0.15712789260554544,0.47016747975044165,0.5298325202495584,172.0,-205.0,0.36764705882352944,0.6721311475409836,0.10252042092691221,-0.14229862729142517,0.01621253168146519,0.0,1043.8809633556077,0.0,1795.4752569716452,2022-04-01
6,Phoenix Suns,Memphis Grizzlies,0,0,0,0,0.7562544784629976,0.6566878518649765,0.4424036601392789,0.5575963398607211,240.0,-295.0,0.29411764705882354,0.7468354430379747,0.14828601308045536,-0.18923910317725356,0.021007185186397846,0.0,1352.5957043980206,0.0,3246.2296905552494,2022-04-01
7,Portland Trailblazers,San Antonio Spurs,0,0,0,0,0.05214069619300543,0.5023955338950211,1.10006378474903,-0.10006378474903,-1600.0,900.0,0.9411764705882352,0.1,0.15888731416079482,-0.20006378474903,0.0,0.0,0.0,0.0,0.0,2022-04-01
8,Minnesota Timberwolves,Denver Nuggets,0,0,0,0,0.5865510520554299,0.625893853651564,0.6277174124087849,0.37228258759121513,-142.0,120.0,0.5867768595041323,0.45454545454545453,0.040940552904652594,-0.0822628669542394,0.009907613802925933,0.0,637.9243935712673,0.0,449.24253068399105,2022-04-01
9,New Orleans Pelicans,Los Angeles Lakers,0,0,0,1,0.46617659173464293,0.3389397953215392,0.4069217896151771,0.5930782103848229,108.0,-126.0,0.4807692307692308,0.5575221238938053,-0.07384744115405367,0.0355560864910176,0.0,0.008035675546969972,0.0,517.3953640302791,410.63124129387234,2022-04-01
