,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP_Prior_Year
0,Aaron Gordon,25,113.88888888888889,3152.4444444444443,14.5,0.5493333333333333,0.3486666666666667,0.29033333333333333,6.0,16.266666666666666,11.033333333333331,17.53333333333333,1.2,2.3000000000000003,14.299999999999999,20.566666666666666,1.5944444444444443,2.733333333333333,4.3277777777777775,0.06733333333333334,0.6833333333333332,-0.3416666666666666,0.34166666666666656,1.7083333333333333
1,Aaron Holiday,24,75.16666666666666,1339.3333333333333,9.2,0.503,0.41700000000000004,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6833333333333332,0.9111111111111111,0.22777777777777777,0.009000000000000001,-3.758333333333333,-1.025,-4.783333333333333,-0.7972222222222222
2,Aaron Nesmith,21,52.388888888888886,761.9166666666666,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5694444444444444,0.6833333333333332,1.2527777777777778,0.076,-3.1888888888888887,-0.45555555555555555,-3.6444444444444444,-0.22777777777777777
3,Abdel Nader,27,27.333333333333332,404.30555555555554,13.4,0.605,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19.0,0.3416666666666666,0.45555555555555555,0.7972222222222222,0.095,-1.1388888888888888,1.1388888888888888,0.0,0.22777777777777777
4,Adam Mokoka,22,15.944444444444443,63.77777777777777,2.2,0.386,0.526,0.053,2.0,7.8,4.9,11.9,1.7,1.6,20.5,18.9,-0.22777777777777777,0.11388888888888889,-0.11388888888888889,-0.11199999999999999,-8.769444444444444,-1.8222222222222222,-10.591666666666667,-0.11388888888888889
5,Al Horford,34,31.888888888888886,890.6111111111111,17.4,0.5379999999999999,0.42200000000000004,0.061,3.8,21.4,12.5,20.1,1.5,2.9,7.3,21.6,0.9111111111111111,1.025,1.8222222222222222,0.10099999999999999,2.2777777777777777,1.5944444444444443,3.872222222222222,1.2527777777777778
6,Al-Farouq Aminu,30,52.388888888888886,988.5555555555555,7.266666666666667,0.44,0.4406666666666667,0.30433333333333334,4.633333333333333,23.5,13.966666666666669,8.299999999999999,1.9333333333333336,1.3666666666666665,20.266666666666666,12.566666666666668,-0.911111111111111,1.1388888888888888,0.22777777777777777,0.0036666666666666666,-19.133333333333333,2.9611111111111117,-16.17222222222222,-0.45555555555555555
7,Alec Burks,29,55.80555555555555,1429.3055555555554,14.8,0.564,0.49200000000000005,0.23600000000000002,1.8,17.6,9.8,13.2,1.2,1.1,8.2,21.3,1.7083333333333333,2.05,3.758333333333333,0.126,1.025,0.6833333333333332,1.7083333333333333,1.2527777777777778
8,Aleksej Pokusevski,19,51.25,1241.388888888889,6.1,0.43,0.507,0.10300000000000001,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,-3.3027777777777776,1.1388888888888888,-2.1638888888888888,-0.084,-5.808333333333333,-1.1388888888888888,-6.947222222222221,-1.2527777777777778
9,Alen Smailagić,20,17.083333333333332,95.66666666666666,8.9,0.47200000000000003,0.37,0.222,7.7,12.5,10.1,6.5,1.7,5.2,14.4,17.6,-0.11388888888888889,0.11388888888888889,0.0,0.015,-5.580555555555556,-0.45555555555555555,-6.0361111111111105,-0.11388888888888889
10,Alex Caruso,26,66.05555555555556,1384.888888888889,11.1,0.547,0.449,0.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,0.3416666666666666,2.3916666666666666,2.733333333333333,0.095,-2.8472222222222223,2.8472222222222223,0.0,0.6833333333333332
11,Alex Len,27,145.77777777777777,2229.9444444444443,12.733333333333334,0.6396666666666667,0.25366666666666665,0.4756666666666666,5.8999999999999995,18.733333333333334,12.233333333333334,6.466666666666666,0.8333333333333334,6.3,22.0,14.9,3.4166666666666665,2.9611111111111112,6.15,0.08233333333333333,-9.566666666666666,5.011111111111111,-4.4416666666666655,1.1388888888888888
12,Alfonzo McKinnie,28,44.416666666666664,293.8333333333333,15.5,0.604,0.419,0.19399999999999998,9.6,13.9,11.8,3.6,1.3,0.0,4.7,17.8,0.5694444444444444,0.3416666666666666,0.9111111111111111,0.156,0.3416666666666666,-0.9111111111111111,-0.45555555555555555,0.11388888888888889
13,Alize Johnson,24,20.5,215.25,23.5,0.638,0.08800000000000001,0.191,16.6,35.0,26.3,10.9,1.3,2.3,10.9,19.1,0.6833333333333332,0.3416666666666666,1.025,0.22699999999999998,3.075,0.0,3.075,0.22777777777777777
14,Amida Brimah,26,5.694444444444445,33.02777777777778,16.6,0.6970000000000001,0.0,0.375,7.5,22.3,15.0,4.8,0.0,14.0,30.0,19.6,0.0,0.11388888888888889,0.0,0.073,-7.061111111111111,1.5944444444444443,-5.466666666666666,0.0
15,Amir Coffey,23,50.11111111111111,448.72222222222223,10.1,0.585,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0.0,11.1,15.1,0.45555555555555555,0.3416666666666666,0.7972222222222222,0.085,-2.1638888888888888,-0.11388888888888889,-2.2777777777777777,0.0
16,Anderson Varejão,38,5.694444444444445,41.0,12.9,0.326,0.063,0.563,21.3,41.4,31.1,12.2,0.0,5.0,4.8,25.4,-0.11388888888888889,0.0,0.0,-0.028999999999999998,-4.213888888888889,-3.758333333333333,-8.08611111111111,0.0
17,Andre Drummond,27,104.77777777777777,2829.0,19.266666666666666,0.5243333333333333,0.011666666666666667,0.36433333333333334,14.733333333333334,34.9,24.7,12.799999999999999,2.466666666666667,3.5,15.799999999999999,27.100000000000005,-1.3666666666666665,5.694444444444445,4.555555555555555,0.08233333333333333,-6.15,1.936111111111111,-4.213888888888889,0.5694444444444444
18,Andre Iguodala,37,71.75,1524.9722222222222,9.2,0.519,0.7340000000000001,0.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,-0.11388888888888889,2.05,1.936111111111111,0.062,-2.5055555555555555,2.05,-0.45555555555555555,0.5694444444444444
19,Andre Roberson,29,5.694444444444445,71.75,4.2,0.20199999999999999,0.5710000000000001,0.14300000000000002,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,-0.11388888888888889,0.11388888888888889,-0.11388888888888889,-0.043,-5.9222222222222225,-1.025,-6.947222222222221,-0.11388888888888889
20,Andrew Wiggins,25,80.86111111111111,2692.333333333333,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.3666666666666665,3.075,4.441666666666666,0.08,0.0,-0.45555555555555555,-0.45555555555555555,1.1388888888888888
21,Anfernee Simons,21,72.88888888888889,1257.3333333333333,12.3,0.589,0.703,0.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,1.7083333333333333,0.3416666666666666,2.05,0.078,0.6833333333333332,-1.8222222222222222,-1.1388888888888888,0.3416666666666666
22,Anthony Davis,27,41.0,1323.388888888889,22.1,0.556,0.163,0.349,6.0,21.5,13.8,16.4,1.9,4.5,9.5,29.2,1.4805555555555556,2.733333333333333,4.213888888888889,0.152,2.9611111111111112,2.5055555555555555,5.466666666666666,2.2777777777777777
23,Anthony Edwards,19,82.0,2635.3888888888887,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27.0,-0.6833333333333332,1.5944444444444443,0.9111111111111111,0.017,-0.45555555555555555,-1.936111111111111,-2.3916666666666666,-0.11388888888888889
24,Anthony Gill,28,29.61111111111111,248.27777777777777,13.7,0.597,0.4,0.267,7.8,17.0,12.4,6.7,2.1,1.5,10.7,14.2,0.3416666666666666,0.3416666666666666,0.6833333333333332,0.12300000000000001,-1.8222222222222222,0.3416666666666666,-1.4805555555555556,0.0
25,Anthony Lamb,23,27.333333333333332,472.63888888888886,8.7,0.523,0.602,0.17800000000000002,6.7,11.5,9.0,7.9,0.7,1.1,13.0,15.0,0.11388888888888889,0.11388888888888889,0.22777777777777777,0.023,-3.872222222222222,-3.075,-6.947222222222221,-0.45555555555555555
26,Anthony Tolliver,35,12.527777777777777,112.75,4.0,0.433,0.8240000000000001,0.353,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,-0.11388888888888889,0.11388888888888889,0.11388888888888889,0.025,-6.377777777777777,-1.7083333333333333,-7.972222222222221,-0.11388888888888889
27,Anžejs Pasečņiks,25,1.1388888888888888,6.833333333333333,-40.6,0.0,1.0,0.0,17.7,0.0,8.8,18.7,0.0,0.0,83.3,41.4,-0.11388888888888889,0.0,-0.11388888888888889,-1.113,-46.35277777777778,-6.719444444444445,-53.07222222222222,-0.11388888888888889
28,Armoni Brooks,22,22.77777777777778,592.2222222222222,10.4,0.565,0.818,0.063,2.0,12.4,7.0,8.7,1.1,0.9,10.0,17.9,0.11388888888888889,0.22777777777777777,0.3416666666666666,0.03,-1.2527777777777778,-2.3916666666666666,-3.6444444444444444,-0.22777777777777777
29,Aron Baynes,34,60.36111111111111,1116.111111111111,10.5,0.503,0.33899999999999997,0.135,9.4,21.7,15.3,7.0,0.8,2.3,12.5,16.2,0.11388888888888889,1.025,1.1388888888888888,0.049,-3.872222222222222,-1.2527777777777778,-5.125,-0.6833333333333332
30,Ashton Hagans,21,2.2777777777777777,4.555555555555555,-12.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.5,0.0,0.0,0.0,-0.353,-15.602777777777776,-8.427777777777777,-24.030555555555555,0.0
31,Austin Rivers,28,82.0,1924.7222222222222,9.9,0.5513333333333333,0.611,0.12866666666666668,1.0333333333333332,9.6,5.366666666666667,13.200000000000001,1.8,0.2333333333333333,12.1,15.366666666666665,0.9111111111111111,2.05,2.9611111111111104,0.07200000000000001,-7.630555555555555,1.025,-6.605555555555555,0.0
